360Learning ;1;https://www.welcometothejungle.co/companies/360learning;;;;;;
 Pharmacies ;4;https://www.welcometothejungle.co/companies/1001pharmacies;;;;;;
A little Market ;0;https://www.welcometothejungle.co/companies/a-little-market;;;;;;
Admo tv ;1;https://www.welcometothejungle.co/companies/admo-tv;;;;;;
Adomik ;4;https://www.welcometothejungle.co/companies/adomik;;;;;;
AdQuality ;0;https://www.welcometothejungle.co/companies/adquality;;;;;;
ADventori ;2;https://www.welcometothejungle.co/companies/adventori;;;;;;
Adveris ;9;https://www.welcometothejungle.co/companies/adveris;;;;;;
Agriconomie ;6;https://www.welcometothejungle.co/companies/agriconomie;;;;;;
Alenvi ;2;https://www.welcometothejungle.co/companies/alenvi;;;;;;
Algama ;1;https://www.welcometothejungle.co/companies/algama;;;;;; 
Algolia ;0;https://www.welcometothejungle.co/companies/algolia;;;;;;
AlumnForce ;12;https://www.welcometothejungle.co/companies/alumnforce;;;;;;
Applidium ;3;https://www.welcometothejungle.co/companies/applidium;;;;;;
Artips ;1;https://www.welcometothejungle.co/companies/artips;;;;;;
Auchan Direct ;0;https://www.welcometothejungle.co/companies/auchan-direct;;;;;;
Back Market ;9;https://www.welcometothejungle.co/companies/back-market;;;;;;
BAM ;3;https://www.welcometothejungle.co/companies/bam;;;;;;
Bankin ;4;https://www.welcometothejungle.co/companies/bankin;;;;;;
Be Bound ;2;https://www.welcometothejungle.co/companies/be-bound;;;;;;
Beauteprivee ;4;https://www.welcometothejungle.co/companies/beauteprivee;;;;;;
Bergamotte ;1;https://www.welcometothejungle.co/companies/bergamotte;;;;;;
Birchbox ;6;https://www.welcometothejungle.co/companies/birchbox;;;;;;
Bird Office ;6;https://www.welcometothejungle.co/companies/bird-office;;;;;;
Blade ;16;https://www.welcometothejungle.co/companies/blade;;;;;;
Bpifrance Le Hub ;1;https://www.welcometothejungle.co/companies/bpi-france-le-hub;;;;;;
Brand and Celebrities ;18;https://www.welcometothejungle.co/companies/brand-and-celebrities;;;;;;
Brigad ;4;https://www.welcometothejungle.co/companies/brigad;;;;;;
Bulb in Town ;6;https://www.welcometothejungle.co/companies/bulb-in-town;;;;;;
Bureaux A Partager ;10;https://www.welcometothejungle.co/companies/bureaux-a-partager;;;;;;
CAMEO Energy ;8;https://www.welcometothejungle.co/companies/cameo-energy;;;;;;
Cartesia ducation ;3;https://www.welcometothejungle.co/companies/cartesia-education;;;;;;
Castalie ;1;https://www.welcometothejungle.co/companies/castalie;;;;;;
Chapka Assurances ;0;https://www.welcometothejungle.co/companies/chapka-assurances;;;;;;
Club Freelance ;5;https://www.welcometothejungle.co/companies/club-freelance;;;;;;
ClubFunding ;2;https://www.welcometothejungle.co/companies/clubfunding;;;;;;
Collector Square ;1;https://www.welcometothejungle.co/companies/collector-square;;;;;;
Colorz ;2;https://www.welcometothejungle.co/companies/colorz;;;;;;
Convargo ;13;https://www.welcometothejungle.co/companies/convargo;;;;;;
Coorpacademy ;4;https://www.welcometothejungle.co/companies/coorpacademy;;;;;;
CorWave ;1;https://www.welcometothejungle.co/companies/corwave;;;;;;
CoWork io ;9;https://www.welcometothejungle.co/companies/cowork-io;;;;;;
Creads ;6;https://www.welcometothejungle.co/companies/creads;;;;;;
Critizr ;20;https://www.welcometothejungle.co/companies/critizr;;;;;;
CybelAngel ;4;https://www.welcometothejungle.co/companies/cybelangel;;;;;;
DataBerries ;6;https://www.welcometothejungle.co/companies/databerries;;;;;;
Datadog ;10;https://www.welcometothejungle.co/companies/datadog;;;;;;
DataDome ;0;https://www.welcometothejungle.co/companies/datadome;;;;;;
Dawex ;5;https://www.welcometothejungle.co/companies/dawex;;;;;;
Dernier Cri ;2;https://www.welcometothejungle.co/companies/dernier-cri;;;;;;
Digital Local ;7;https://www.welcometothejungle.co/companies/digital-local;;;;;;
Dimelo ;5;https://www.welcometothejungle.co/companies/dimelo;;;;;;
Diplomeo ;3;https://www.welcometothejungle.co/companies/diplomeo;;;;;;
Ditto By Travelex ;5;https://www.welcometothejungle.co/companies/banque-travelex-france;;;;;;
Dolead ;11;https://www.welcometothejungle.co/companies/dolead;;;;;;
drust ;2;https://www.welcometothejungle.co/companies/drust;;;;;;
Early Metrics ;1;https://www.welcometothejungle.co/companies/early-metrics;;;;;;
easiware ;4;https://www.welcometothejungle.co/companies/easiware;;;;;;
eFounders ;6;https://www.welcometothejungle.co/companies/efounders;;;;;;
Eurelis ;3;https://www.welcometothejungle.co/companies/eurelis;;;;;;
Expedicar ;6;https://www.welcometothejungle.co/companies/expedicar;;;;;;
Fabernovel Code ;4;https://www.welcometothejungle.co/companies/fabernovel-code;;;;;;
FABERNOVEL DATA MEDIA ;6;https://www.welcometothejungle.co/companies/fabernovel-data-media;;;;;;
FAMOCO ;7;https://www.welcometothejungle.co/companies/famoco;;;;;;
Fetch ;4;https://www.welcometothejungle.co/companies/fetch;;;;;;
Fidzup ;11;https://www.welcometothejungle.co/companies/fidzup;;;;;;
Fioulmarket fr ;4;https://www.welcometothejungle.co/companies/fioulmarket-fr;;;;;;
FlixBus ;8;https://www.welcometothejungle.co/companies/flixbus;;;;;;
Foodch ri ;14;https://www.welcometothejungle.co/companies/foodcheri;;;;;;
ForePaas ;8;https://www.welcometothejungle.co/companies/forepaas;;;;;;
Foule Access ;7;https://www.welcometothejungle.co/companies/foule-access;;;;;;
FretLink ;11;https://www.welcometothejungle.co/companies/fretlink;;;;;;
